Области/Регионы;ГОРОДА;Население
Республика Башкортостан;Давлеканово;21180
Астраханская область;Началово;21067
Республика Саха (Якутия);Ленск;21057
Кемеровская область;Калтан;21047
Краснодарский край;Ахтырский;20997
Московская область;Бронницы (Московская область);20981
Республика Татарстан;Бавлы;20971
Кабардино-Балкарская республика;Чегем;20955
Калининградская область;Светлый;20943
Республика Адыгея;Старобжегокай;20926
Новосибирская область;Кольцово (Новосибирская область);20883
Московская область;Рошаль (Московская область);20875
Иркутская область;Железногорск-Илимский;20869
Рязанская область;Сасово;20847
Челябинская область;Усть-Катав;20822
Псковская область;Остров;20773
Краснодарский край;Выселки;20699
Мурманская область;Оленегорск;20695
Краснодарский край;Холмская;20686
Республика Крым;Гвардейское (Республика Крым);20624
Тверская область;Бежецк;20618
Ставропольский край;Новопавловск;20512
Омская область;Калачинск;20509
Московская область;Монино (Московская область);20485
Московская область;Хотьково (Московская область);20468
Свердловская область;Сысерть;20403
Новосибирская область;Тогучин;20393
Московская область;Зарайск (Московская область);20383
Красноярский край;Дудинка (Красноярский край);20332
Свердловская область;Арамиль;20218
Ростовская область;Чалтырь;20184
Ленинградская область;Пикалево;20161
Республика Тыва;Каа-Хем;20149
Пензенская область;Нижний Ломов;20130
Волгоградская область;Котово;20116
Самарская область;Безенчук;20115
Кабардино-Балкарская республика;Терек;20068
Тюменская область;Московский (Тюменская область);20040
Рязанская область;Ряжск;20021
Чеченская республика;Ойсхара;19992
Костромская область;Буй;19938
Новосибирская область;Черепаново;19935
Костромская область;Шарья;19933
Республика Крым;Армянск;19917
Карачаево-Черкесская Республика;Зеленчукская;19914
Республика Татарстан;Осиново;19907
Московская область;Куровское (Московская область);19890
Самарская область;Октябрьск;19887
Республика Татарстан;Агрыз;19804
Омская область;Исилькуль;19737
Нижегородская область;Сергач;19724
Чеченская республика;Гойты;19690
Республика Татарстан;Буинск;19597
Сахалинская область;Оха;19566
Кировская область;Омутнинск;19472
Тверская область;Бологое;19458
Кировская область;Котельнич;19454
Республика Коми;Инта;19372
Приморский край;Фокино (Приморский край);19358
Республика Мордовия;Ковылкино;19344
Московская область;Пущино (Московская область);19342
Пензенская область;Никольск (Пензенская область);19329
Кемеровская область;Промышленная;19278
Республика Алтай;Майма;19224
Пермский край;Оса;19222
Республика Башкортостан;Приютово;19160
Костромская область;Нерехта;19141
Республика Северная Осетия-Алания;Ардон;19119
Республика Марий Эл;Козьмодемьянск;19054
Чеченская республика;Автуры;19004
Ростовская область;Константиновск;18878
Волгоградская область;Суровикино;18824
Красноярский край;Березовка (Красноярский край);18779
Амурская область;Зея;18669
Ленинградская область;Аннино (Ленинградская область);18642
Саратовская область;Ершов;18621
Республика Башкортостан;Раевский (Альшеевский район);18616
Краснодарский край;Медведовская;18610
Ленинградская область;Приозерск;18529
Республика Ингушетия;Магас;18521
Московская область;Черноголовка (Московская область);18472
Ростовская область;Зверево;18460
Краснодарский край;Новопокровская;18456
Ленинградская область;Лодейное Поле;18444
Ставропольский край;Свободы;18398
Республика Дагестан;Тарки;18386
Республика Ингушетия;Нестеровская (Ингушетия);18385
Иркутская область;Слюдянка;18362
Свердловская область;Кировград;18339
Астраханская область;Харабали;18224
Республика Дагестан;Бабаюрт;18211
Республика Татарстан;Столбище;18191
Белгородская область;Новый Оскол;18176
Челябинская область;Пласт;18167
Белгородская область;Дубовое;18120
Московская область;Удельная (Московская область);18111
Ленинградская область;Павловск (Ленинградская область);18097
Архангельская область;Няндома;18074
Чеченская республика;Бачи-Юрт;18016
Волгоградская область;Краснослободск (Волгоградская область);17959
Ростовская область;Щепкин;17953
Республика Бурятия;Кяхта;17906
Алтайский край;Тальменка;17903
Самарская область;Нефтегорск (Самарская область);17854
Краснодарский край;Дагомыс;17848
Красноярский край;Енисейск;17843
Тверская область;Нелидово;17840
Хабаровский край;Николаевск-на-Амуре;17815
Московская область;Электроугли (Московская область);17793
Самарская область;Подстепки;17768
Республика Татарстан;Кукмор;17763
Алтайский край;Южный (Алтайский край);17754
Свердловская область;Нижняя Тура;17708
Ханты-Мансийский АО - Югра;Белый Яр (Ханты-Мансийский АО);17688
Самарская область;Кинель-Черкассы;17643
Новосибирская область;Линево (Новосибирская область);17610
Республика Башкортостан;Баймак;17580
Чеченская республика;Цоци-Юрт;17556
Ростовская область;Курган (Ростовская область);17545
Красноярский край;Боготол;17509
Республика Крым;Белогорск (Крым);17488
Брянская область;Стародуб;17487
Нижегородская область;Шахунья;17439
Краснодарский край;Варениковская;17433
Тульская область;Суворов;17388
Владимирская область;Радужный (Владимирская область);17379
Владимирская область;Покров;17371
Республика Крым;Судак;17364
Республика Ингушетия;Кантышево;17337
Ленинградская область;Светогорск;17303
Республика Дагестан;Нижнее Казанище;17288
Брянская область;Жуковка (Брянская область);17280
Воронежская область;Калач;17271
Новосибирская область;Коченево;17234
Ленинградская область;Сиверский;17174
Калининградская область;Зеленоградск;17164
Республика Татарстан;Васильево;17144
Калининградская область;Светлогорск (Калининградская область);17124
Тульская область;Плавск;17052
Краснодарский край;Старощербиновская;17007
Республика Ингушетия;Плиево;16993
Московская область;Боброво (Московская область);16988
Приморский край;Лучегорск;16967
Московская область;Талдом (Московская область);16940
Челябинская область;Куса;16891
Хабаровский край;Ванино;16885
Оренбургская область;Абдулино;16868
Курская область;Льгов;16779
Красноярский край;Шушенское;16760
Астраханская область;Лиман (Астраханская область);16741
Республика Дагестан;Каякент;16709
Забайкальский край;Агинское (Забайкальский АО);16649
Калужская область;Козельск;16634
Рязанская область;Новомичуринск;16619
Новосибирская область;Криводановка;16575
Владимирская область;Собинка;16569
Ханты-Мансийский АО - Югра;Покачи;16556
Свердловская область;Туринск;16542
Алтайский край;Яровое;16528
Саратовская область;Красный Кут;16466
Республика Дагестан;Ахты;16428
Воронежская область;Поворино;16369
Пермский край;Нытва;16283
Кабардино-Балкарская республика;Нартан;16226
Брянская область;Навля;16150
Курганская область;Шумиха;16121
Свердловская область;Нижняя Салда;16112
Челябинская область;Бакал;16091
Сахалинская область;Поронайск;16039
Тверская область;Осташков;16039
Архангельская область;Онега;16037
Архангельская область;Североонежск;16037
Амурская область;Шимановск;16036
Астраханская область;Камызяк;16018
Республика Адыгея;Гиагинская;16014
Ростовская область;Зимовники;16012
Вологодская область;Шексна;15938
Воронежская область;Новохоперск;15897
Саратовская область;Новопушкинское;15888
Ульяновская область;Инза;15874
Ленинградская область;Подпорожье;15861
Тамбовская область;Кирсанов;15827
Республика Дагестан;Семендер;15810
Московская область;Кратово (Московская область);15790
Республика Татарстан;Мамадыш;15774
Чеченская республика;Гехи;15772
Ленинградская область;Бокситогорск;15764
Ростовская область;Гигант;15730
Амурская область;Райчихинск;15721
Иркутская область;Усть-Ордынский;15710
Республика Татарстан;Мензелинск;15700
Карачаево-Черкесская Республика;Учкекен;15699
Краснодарский край;Стародеревянковская;15651
Красноярский край;Емельяново;15630
Красноярский край;Иланский;15587
Ростовская область;Орловский;15580
Ярославская область;Гаврилов-Ям;15576
Хабаровский край;Бикин;15575
Калужская область;Кондрово;15572
Мурманская область;Ковдор;15489
Ростовская область;Багаевская;15479
Республика Башкортостан;Межгорье (Республика Башкортостан);15476
Ленинградская область;Зеленогорск (Ленинградская обл);15462
Калужская область;Товарково (Калужская область);15461
Саратовская область;Новоузенск;15425
Новосибирская область;Болотное;15417
Новосибирская область;Сузун;15403
Ростовская область;Егорлыкская;15401
Брянская область;Сельцо;15397
Оренбургская область;Ясный;15394
Московская область;Лопатино (Московская область);15366
Республика Северная Осетия-Алания;Заводской (Северная Осетия);15276
Иркутская область;Свирск;15270
Ростовская область;Кулешовка;15270
Московская область;Руза (Московская область);15269
Республика Башкортостан;Михайловка (Абзелиловский район);15256
Московская область;Запрудня (Московская область);15172
Волгоградская область;Жирновск;15163
Калужская область;Жуков;15146
Свердловская область;Рефтинский;15137
Московская область;Большие Вязёмы (Московская область);15105
Забайкальский край;Нерчинск;15077
Пермский край;Кизел;15062
Московская область;Софрино (Московская область);15001
Краснодарский край;Новомихайловский;14999
Красноярский край;Бородино;14967
Новосибирская область;Купино;14919
Алтайский край;Белокуриха;14879
Ленинградская область;Вырица;14873
Свердловская область;Дегтярск;14869
Московская область;Ильинский (Раменский район);14849
Курская область;Рыльск;14843
Тульская область;Ясногорск;14815
Челябинская область;Касли;14810
Воронежская область;Анна;14776
Воронежская область;Грибановский;14763
Волгоградская область;Новоаннинский;14762
Краснодарский край;Васюринская;14739
Ленинградская область;Поляны (Выборгский район, Ленинградская область);14730
Курганская область;Куртамыш;14729
Московская область;Лесной Городок;14701
Республика Карелия;Сортавала;14692
Ростовская область;Цимлянск;14677
Алтайский край;Новокулундинка;14650
Белгородская область;Чернянка;14632
Саратовская область;Калининск;14632
Свердловская область;Михайловск (Свердловская область);14623
Чеченская республика;Алхан-Кала;14574
Волгоградская область;Палласовка;14558
Московская область;Селятино (Московская область);14536
Свердловская область;Талица;14495
Волгоградская область;Дубовка;14490
Забайкальский край;Петровск-Забайкальский;14473
Ульяновская область;Барыш;14449
Брянская область;Почеп;14411
Новгородская область;Валдай;14397
Ленинградская область;пгт имени Свердлова;14392
Кировская область;Советск (Кировская область);14389
Курская область;Щигры;14386
Краснодарский край;Сириус;14344
Калужская область;Сухиничи;14336
Кемеровская область;Новый Городок;14329
Волгоградская область;Средняя Ахтуба;14293
Московская область;Краснозаводск (Московская область);14290
Республика Дагестан;Касумкент;14285
Ленинградская область;Стрельна;14268
Челябинская область;Катав-Ивановск;14258
Вологодская область;Грязовец;14240
Тюменская область;Винзили;14213
Алтайский край;Алтайское;14205
Пермский край;Очер;14194
Воронежская область;Богучар;14184
Нижегородская область;Навашино;14180
Красноярский край;Ужур;14169
Кировская область;Яранск;14166
Республика Бурятия;Нижний Саянтуй;14127
Краснодарский край;Старовеличковская;14090
Краснодарский край;Калининская;14088
Ивановская область;Приволжск;14047
Белгородская область;Стрелецкое;14039
Костромская область;Волгореченск;14014
Мурманская область;Полярные Зори;14013
Волгоградская область;Еланский (Волгоградская область);13978
Пермский край;Красновишерск;13976
Мурманская область;Заполярный;13948
Ханты-Мансийский АО - Югра;Солнечный (Ханты-Мансийский АО);13944
Ханты-Мансийский АО - Югра;Нижнесортымский;13930
Республика Калмыкия;Лагань;13919
Калининградская область;Гвардейск;13877
Новгородская область;Чудово;13875
Свердловская область;Ивдель;13866
Ленинградская область;Шлиссельбург;13850
Республика Татарстан;Камские Поляны;13834
Ростовская область;Самарское;13796
Белгородская область;Таврово;13790
Рязанская область;Шилово;13787
Тюменская область;Каскара;13765
Краснодарский край;Ладожская;13757
Ленинградская область;Агалатово;13749
Республика Саха (Якутия);Удачный;13746
Новосибирская область;Толмачево;13746
Республика Башкортостан;Агидель;13728
Ленинградская область;Каменногорск;13727
Краснодарский край;Старотитаровская;13706
Волгоградская область;Елань;13675
Тверская область;Кашин;13674
Оренбургская область;Ивановка (Оренбургская область);13660
Республика Крым;Мирное (Республика Крым);13660
Ленинградская область;Приморск (Ленинградская область);13659
Челябинская область;Рощино (Челябинская область);13654
Чеченская республика;Знаменское (Чечня);13646
Алтайский край;Павловск (Алтайский край);13643
Московская область;Яхрома (Московская область);13618
Новгородская область;Пестово;13616
Ярославская область;Данилов;13595
Республика Дагестан;Губден;13576
Тамбовская область;Жердевка;13555
Кабардино-Балкарская республика;Шалушка;13552
Ростовская область;Персиановский;13551
Чеченская республика;Шелковская;13538
Ленинградская область;Кузьмоловский;13531
Забайкальский край;Чернышевск;13521
Ульяновская область;Ишеевка (Ульяновская область);13519
Республика Ингушетия;Сурхахи;13517
Республика Татарстан;Джалиль;13512
Челябинская область;Долгодеревенское;13508
Самарская область;Ягодное (Самарская область);13499
Краснодарский край;Платнировская;13459
Республика Хакасия;Усть-Абакан;13457
Московская область;Белоозёрский (Московская область);13455
Ульяновская область;Новоульяновск;13450
Республика Саха (Якутия);Айхал;13432
Иркутская область;Байкальск;13419
Забайкальский край;Забайкальск;13399
Республика Башкортостан;Чекмагуш;13345
Краснодарский край;Петровская;13308
Московская область;Новоивановское (Московская область);13269
Псковская область;Невель;13260
Республика Башкортостан;Месягутово;13260
Республика Калмыкия;Троицкое (Республика Калмыкия);13229
Республика Адыгея;Адыгейск;13224
Краснодарский край;Успенское (Краснодарский край);13207
Волгоградская область;Николаевск;13183
Брянская область;Климово (Брянская область);13153
Брянская область;Трубчевск;13152
Новосибирская область;Маслянино;13146
Новосибирская область;Лянино;13146
Ленинградская область;Мга;13143
Чеченская республика;Мескер-Юрт;13133
Республика Бурятия;Селенгинск;13130
Тюменская область;Богандинский;13123
Московская область;Бутово (Московская область);13110
Иркутская область;Чунский;13106
Приморский край;Кавалерово;13100
Чеченская республика;Серноводское;13094
Краснодарский край;Нововеличковская;13094
Самарская область;Суходол (Самарская область);13083
Чеченская республика;Самашки;13079
Чукотский АО;Анадырь;13043
Владимирская область;Карабаново;13022
Ставропольский край;Солнечнодольск;13013
Республика Ингушетия;Сагопши;13004
Нижегородская область;Первомайск (Нижегородская область);12988
Ивановская область;Южа;12987
Красноярский край;Кодинск;12977
Московская область;Высоковск (Московская область);12971
Чеченская республика;Побединское;12945
Калининградская область;Пионерский;12928
Ульяновская область;Чердаклы;12924
Ленинградская область;Сясьстрой;12916
Владимирская область;Меленки;12902
Свердловская область;Белоярский (Свердловская область);12898
Чувашская Республика;Цивильск;12864
Волгоградская область;Ленинск;12860
Чеченская республика;Герменчук;12823
Воронежская область;Хохольский;12820
Ростовская область;Романовская;12804
Кемеровская область;Яшкино;12744
Хабаровский край;Вяземский;12739
Ленинградская область;Виллози;12736
Московская область;Шаховская (Московская область);12729
Забайкальский край;Смоленка (Забайкальский край);12726
Республика Северная Осетия-Алания;Эльхотово;12711
Краснодарский край;Крыловская станица (Крыловский район);12709
Ленинградская область;Пудость;12688
Республика Дагестан;Ботлих;12633
Краснодарский край;Советский (Ейский район);12596
Краснодарский край;Трудобеликовский;12582
Новосибирская область;Барышево;12577
Костромская область;Мантурово;12576
Ростовская область;Покровское (Ростовская область);12563
Новосибирская область;Верх-Тула;12542
Краснодарский край;Октябрьская (Крыловский район,Краснодарский край);12538
Ульяновская область;Новоспасское (Ульяновская область);12504
Чеченская республика;Майртуп;12500
Калужская область;Боровск;12492
Костромская область;Галич (Костромская область);12488
Челябинская область;Сим;12460
Московская область;Фряново (Московская область);12437
Астраханская область;Икряное;12426
Челябинская область;Миасское;12425
Новосибирская область;Колывань;12423
Волгоградская область;Петров Вал;12416
Хабаровский край;Чегдомын;12414
Воронежская область;Ольховатка;12394
Кемеровская область;Бачатский;12393
Владимирская область;Петушки;12385
Тульская область;Белев;12382
Нижегородская область;Лукоянов;12379
Республика Башкортостан;Кандры;12375
Иркутская область;Баклаши;12359
Хабаровский край;Солнечный;12352
Тульская область;Венев;12346
Кемеровская область;Инской;12345
Владимирская область;Лакинск;12271
Саратовская область;Хвалынск;12270
Ростовская область;Каменоломни;12260
Краснодарский край;Анастасиевская;12253
Республика Дагестан;Акуша;12225
Мурманская область;Полярный;12223
Челябинская область;Красногорский (Челябинская область);12223
Нижегородская область;Урень;12219
Забайкальский край;Карымское;12211
Московская область;Дрезна (Московская область);12206
Омская область;Таврическое;12172
Оренбургская область;Нежинка;12171
Владимирская область;Гороховец;12104
Забайкальский край;Могоча;12091
Забайкальский край;Шилка;12075
Республика Крым;Чистенькое;12054
Краснодарский край;Небуг;12052
Республика Саха (Якутия);Покровск (Якутия);12050
Белгородская область;Борисовка;12047
Кабардино-Балкарская республика;Заюково;12045
Республика Башкортостан;Бакалы;12031
Тверская область;Калязин;12001
Краснодарский край;Таманский;11995
Краснодарский край;Марьянская;11989
Республика Тыва;Ак-Довурак;11977
Республика Хакасия;Абаза;11962
Чеченская республика;Аллерой (Курчалоевский район);11949
Республика Крым;Петровка;11938
Ярославская область;Кузнечиха;11917
Саратовская область;Степное (Саратовская область, Балашовский район);11901
Саратовская область;Новостепное (Саратовская область);11901
Кабардино-Балкарская республика;Исламей;11857
Сахалинская область;Долинск;11840
Брянская область;Супонево;11835
Республика Башкортостан;Кармаскалы;11824
Республика Карелия;Медвежьегорск;11818
Республика Дагестан;Белиджи;11816
Ярославская область;Семибратово;11798
Республика Башкортостан;Красноусольский;11795
Красноярский край;Уяр;11792
Владимирская область;Камешково;11776
Омская область;Лузино;11776
Республика Саха (Якутия);Жатай;11772
Республика Дагестан;Аксай (Дагестан);11766
Республика Крым;Красногвардейское;11747
Владимирская область;Боголюбово;11730
Вологодская область;Бабаево;11719
Краснодарский край;Новомышастовская;11708
Брянская область;Клетня;11700
Курская область;Обоянь;11671
Республика Дагестан;Коркмаскала;11667
Республика Татарстан;Алексеевское;11657
Красноярский край;Курагино;11647
Республика Тыва;Шагонар;11644
Республика Башкортостан;Кушнаренково;11639
Республика Марий Эл;Советский (Республика Марий Эл);11622
Саратовская область;Бык (Саратовская область);11615
Чеченская республика;Гелдаган;11553
Ленинградская область;Волосово;11552
Иркутская область;Киренск;11548
Свердловская область;Арти;11542
Калужская область;Кременки;11518
Челябинская область;Увельский;11514
Республика Бурятия;Закаменск;11508
Республика Крым;Черноморское;11504
Краснодарский край;Новоминская;11500
Курганская область;Катайск;11494
Краснодарский край;Старонижестеблиевская;11493
Самарская область;Красный Яр (Самарская область);11492
Республика Мордовия;Комсомольский (Республика Мордовия);11482
Калужская область;Сосенский;11469
Московская область;Пересвет (Московская область);11434
Республика Дагестан;Леваши (Дагестан);11416
Калужская область;Ермолино (Калужская область);11411
Пермский край;Полазна;11383
Ростовская область;Обливская;11363
Республика Бурятия;Иволгинск;11361
Московская область;Заречье (рабочий посёлок, Одинцовский район, Московская область);11361
Вологодская область;Кадуй;11356
Краснодарский край;Черноморский;11352
Забайкальский край;Первомайский (Забайкальский край);11329
Красноярский край;Богучаны;11323
Республика Адыгея;Краснооктябрьский (Адыгея);11314
Ростовская область;Новобессергеневка;11293
Московская область;Михнево (Московская область, Ступинский район);11279
Нижегородская область;Чкаловск;11267
Ленинградская область;Ульяновка (Ленинградская область);11267
Республика Татарстан;Нижняя Мактама;11263
Московская область;Некрасовский (Московская область);11262
Ямало-Ненецкий АО;Пангоды;11252
Курганская область;Далматово;11249
Кемеровская область;Краснобродский;11233
Самарская область;Новосемейкино;11215
Пензенская область;Мокшан;11185
Республика Адыгея;Тульский (Адыгея);11174
Краснодарский край;Казанская;11174
Владимирская область;Струнино;11174
Ханты-Мансийский АО - Югра;Междуреченский (Ханты-Мансийский АО);11165
Краснодарский край;Старомышастовская;11159
Чеченская республика;Толстой-Юрт (Чеченская республика);11149
Приморский край;Кировский (Приморский край);11065
Краснодарский край;Курчанская;11058
Республика Мордовия;Зубова-Поляна;11029
Воронежская область;Эртиль;11029
Карачаево-Черкесская Республика;Сторожевая (Карачаево-Черкесия);11024
Рязанская область;Михайлов;11015
Краснодарский край;Джубга;11012
Хабаровский край;Тополево;11004
Республика Северная Осетия-Алания;Кизляр (Северная Осетия);11002
Республика Крым;Октябрьское (Республика Крым);10996
Тверская область;Торопец;10990
Республика Дагестан;Мамедкала;10967
Забайкальский край;Атамановка (Читинский район);10965
Кемеровская область;Грамотеино;10962
Республика Марий Эл;Звенигово;10956
Томская область;Каргасок;10947
Омская область;Любинский;10944
Брянская область;Сураж;10932
Воронежская область;Таловая;10926
Волгоградская область;Иловля;10893
Новосибирская область;Чулым;10885
Калужская область;Белоусово;10858
Астраханская область;Нариманов;10856
Пермский край;Горнозаводск;10818
Республика Башкортостан;Буздяк;10792
Волгоградская область;Светлый Яр;10790
Саратовская область;Аркадак;10785
Республика Адыгея;Красногвардейское (Адыгея);10785
Краснодарский край;Пластуновская;10779
Архангельская область;Вычегодский;10777
Кабардино-Балкарская республика;Чегем Второй;10750
Краснодарский край;Псебай;10737
Республика Татарстан;Лаишево;10734
Челябинская область;Полетаево (Челябинская область);10724
Республика Коми;Емва;10710
Архангельская область;Коноша;10703
Республика Северная Осетия-Алания;Чермен;10701
Белгородская область;Ровеньки (Белгородская область);10699
Самарская область;Алексеевка (Самарская область);10690
Самарская область;Усть-Кинельский;10664
Тверская область;Лихославль;10659
Краснодарский край;Нижнебаканская;10658
Ленинградская область;посёлок имени Морозова;10621
Республика Дагестан;Альбурикент;10620
Республика Дагестан;Южно-Сухокумск;10618
Тульская область;Товарковский;10604
Забайкальский край;Могойтуй;10601
Республика Коми;Выльгорт;10594
Ростовская область;Кривянская;10588
Республика Марий Эл;Морки;10585
Калужская область;Воротынск;10578
Сахалинская область;Невельск;10568
Республика Крым;Старый Крым;10541
Свердловская область;Новая Ляля;10521
Республика Башкортостан;Аскарово;10499
Республика Саха (Якутия);Вилюйск;10491
Приморский край;Славянка (Приморский край);10462
Алтайский край;Благовещенка;10446
Московская область;Андреевка (Московская область);10442
Самарская область;Тимофеевка (Самарская область);10423
Хабаровский край;Эльбан;10423
Тамбовская область;Первомайский (Тамбовская область);10412
Оренбургская область;Илек;10408
Ленинградская область;Лесколово;10406
Иркутская область;Белореченский;10404
Чеченская республика;Ножай-Юрт;10403
Тверская область;Озерный (Тверская область);10401
Республика Ингушетия;Яндаре;10388
Хабаровский край;Хор (Хабаровский край);10376
Смоленская область;Верхнеднепровский;10363
Республика Дагестан;Чиркей;10362
Республика Татарстан;Уруссу;10353
Ярославская область;Петровское (Ярославская область);10352
Пермский край;Александровск (Пермский край);10316
Новгородская область;Панковка;10315
Республика Саха (Якутия);Чурапча;10305
Воронежская область;Кантемировка;10298
Ярославская область;Ивняки;10292
Московская область;Загорянский (Московская область);10284
Сахалинская область;Ноглики;10273
Челябинская область;Аргаяш;10273
Ростовская область;Вешенская;10272
Кировская область;Уни;10271
Ленинградская область;Новоселье (Ленинградская область);10249
Белгородская область;Волоконовка;10248
Омская область;Называевск;10241
Республика Татарстан;Тетюши;10222
Республика Саха (Якутия);Сунтар;10212
Ростовская область;Целина;10207
Республика Башкортостан;Толбазы;10203
Вологодская область;Вытегра;10195
Ростовская область;Весело-Вознесенка;10146
Красноярский край;Заозерный;10143
Челябинская область;Карабаш (Челябинская область);10131
Мурманская область;Снежногорск;10122
Челябинская область;Нязепетровск;10114
Московская область;Вербилки (Московская область);10092
Ростовская область;Кагальник;10089
Ростовская область;Усть-Донецкий;10072
Республика Северная Осетия-Алания;Дигора;10068
Ленинградская область;Первомайское (Ленинградская область);10063
Республика Башкортостан;Большеустьикинское;10059
Ленинградская область;Романовка;10056
Забайкальский край;Балей;10052
Ленинградская область;Сусанино (Ленинградская область);10049
Белгородская область;Ракитное (Белгородская область);10046
Ленинградская область;Малое Верево;10042
Ивановская область;Наволоки;10040
Ростовская область;Тацинская;10039
Челябинская область;Юрюзань;10039
Республика Саха (Якутия);Нюрба;10038
Владимирская область;Судогда;10020
Республика Северная Осетия-Алания;Октябрьское (Пригородный район);10018
Московская область;Лесной (Московская область, Пушкинский район);10007
Краснодарский край;Михайловская;9999
Республика Дагестан;Дылым;9998
Иркутская область;Залари;9997
Республика Башкортостан;Акъяр (Хайбуллинский район, Башкортостан);9985
Чеченская республика;Ассиновская;9982
