Области/Регионы;ГОРОДА;Население
Республика Ингушетия;Назрань;126292
Ростовская область;Батайск;124987
Алтайский край;Зелёная Дубрава;124338
Алтайский край;Рубцовск;123379
Ставропольский край;Ессентуки;123138
Чувашская Республика;Новочебоксарск;120499
Ростовская область;Пролетарск;119699
Московская область;Долгопрудный (Московская область);119089
Удмуртская Республика;Октябрьский (Удмуртская Республика);117487
Тульская область;Новомосковск (Тульская область);117175
Ставропольский край;Невинномысск;114556
Московская область;Раменское (Московская область);113897
Пермский край;Они (Пермский край);113777
Ленинградская область;Мурино;112822
Карачаево-Черкесская Республика;Черкесск;112782
Ставропольский край;Михайловск (Ставропольский край);112179
Московская область;Реутов (Московская область);112070
Ханты-Мансийский АО - Югра;Ханты-Мансийск;111772
Свердловская область;Первоуральск;111751
Московская область;Пушкино (Московская область);111580
Московская область;Жуковский (Московская область);110083
Владимирская область;Октябрьский (Владимирская область);109059
Ульяновская область;Димитровград;108804
Самарская область;Комсомольский (Кинельский район);108585
Приморский край;Артем;108539
Ленинградская область;Пушкин;108470
Ульяновская область;Зеленая Роща (Ульяновская область);107045
Ямало-Ненецкий АО;Новый Уренгой;106890
Республика Крым;Евпатория;106405
Московская область;Видное (Московская область);106222
Астраханская область;Кировский (Астраханская область);105459
Кемеровская область;Рудничный (Кемеровская область);105395
Томская область;Северск (Томская область);105304
Волгоградская область;Камышин;105187
Владимирская область;Муром;104806
Московская область;Орехово-Зуево (Московская область);104728
Нижегородская область;Арзамас;103629
Республика Калмыкия;Элиста;103219
Ямало-Ненецкий АО;Ноябрьск;102938
Новосибирская область;Бердск;102760
Ставропольский край;Октябрьское (Ставропольский край);102553
Московская область;Ногинск (Московская область);102392
Ростовская область;Новошахтинск;101483
Красноярский край;Ачинск;99665
Тюменская область;Тобольск;99454
Республика Татарстан;Зеленодольск (Республика Татарстан);98888
Волгоградская область;Кирова (Волгоградская область);98270
Московская область;Сергиев Посад (Московская область);98251
Самарская область;Новокуйбышевск;97181
Удмуртская Республика;Воткинск;96037
Курская область;Железногорск (Курская область);95578
Кемеровская область;Междуреченск;95080
Московская область;Воскресенск (Московская область);95071
Нижегородская область;Саров;94084
Свердловская область;Серов;92349
Тульская область;Центральный (Тульская область, Суворовский район);92111
Краснодарский край;Ейск;92084
Ленинградская область;Гатчина;91719
Удмуртская Республика;Сарапул;89442
Кемеровская область;Ленинск-Кузнецкий;89284
Магаданская область;Магадан;89193
Тамбовская область;Мичуринск;88785
Московская область;Клин (Московская область);88425
Оренбургская область;Бузулук;88339
Пермский край;Соликамск;88184
Московская область;Чехов (Московская область);86164
Республика Башкортостан;Демский;86134
Удмуртская Республика;Глазов;85870
Краснодарский край;Анапа;85747
Красноярский край;Канск;85587
Псковская область;Великие Луки;85442
Алтайский край;Октябрьский (Алтайский край);85263
Московская область;Ивантеевка (Московская область);83941
Белгородская область;Губкин;83766
Ростовская область;Каменск-Шахтинский;83286
Московская область;Лобня (Московская область);81143
Кемеровская область;Киселевск;81055
Красноярский край;Железногорск (Красноярский край);80914
Краснодарский край;Геленджик;80706
Ростовская область;Азов;80381
Ленинградская область;Петергоф;80345
Кировская область;Первомайский (Кировская область);79990
Ростовская область;Ленинский (Ростовская область);79638
Республика Татарстан;Бугульма;79545
Ленинградская область;Всеволожск;78731
Кемеровская область;Юрга;78009
Иркутская область;Усть-Илимск;77762
Свердловская область;Новоуральск;77566
Нижегородская область;Бор;77320
Краснодарский край;Лазаревское;77199
Республика Коми;Ухта;77187
Кемеровская область;Новоильинский (Кемеровская область);77048
Пензенская область;Кузнецк;76753
Оренбургская область;Октябрьское;76583
Челябинская область;Озерск (Челябинская область);76243
Свердловская область;Верхняя Пышма;76208
Ивановская область;Октябрьский (Ивановская область);76026
Республика Хакасия;Черногорск;75639
Пермский край;Чайковский;74913
Ивановская область;Кинешма;74804
Московская область;Наро-Фоминск (Московская область);74493
Оренбургская область;Новотроицк (Оренбургская область);74469
Краснодарский край;Кропоткин;74367
Республика Татарстан;Елабуга;74149
Московская область;Дубна (Московская область);74032
Алтайский край;Новоалтайск;73511
Иркутская область;Усолье-Сибирское;72594
Саратовская область;Балашов;72573
Московская область;Котельники (Московская область);72311
